search_id,user_id,query,timestamp
1,772,adidas,2026-01-30 16:40:54.410151
2,1603,bag,2026-01-30 16:40:50.469178
3,3079,bag,2026-01-30 16:35:47.357368
4,1348,adidas,2026-01-30 16:35:16.606560
5,1417,nike,2026-01-30 16:34:26.529542
6,2787,jacket,2026-01-30 16:40:00.186336
7,4993,dress,2026-01-30 16:40:15.917111
8,4076,vintage,2026-01-30 16:37:53.039199
9,1939,bag,2026-01-30 16:38:33.952807
10,1884,nike,2026-01-30 16:43:56.401300
11,4618,adidas,2026-01-30 16:34:30.099990
12,2204,dress,2026-01-30 16:40:08.995466
13,3060,shoes,2026-01-30 16:36:54.712916
14,64,lamp,2026-01-30 16:36:36.703174
15,3541,adidas,2026-01-30 16:38:45.743507
16,445,jacket,2026-01-30 16:35:35.276587
17,2025,adidas,2026-01-30 16:37:22.533226
18,4980,adidas,2026-01-30 16:44:36.696232
19,2740,jacket,2026-01-30 16:45:33.938462
20,4476,dress,2026-01-30 16:40:15.148911
21,223,shoes,2026-01-30 16:41:20.054072
22,433,nike,2026-01-30 16:46:05.714123
23,4665,jacket,2026-01-30 16:35:22.001066
24,4185,jacket,2026-01-30 16:42:27.951242
25,904,dress,2026-01-30 16:35:40.455577
26,2826,lamp,2026-01-30 16:39:55.903465
27,3729,jacket,2026-01-30 16:41:59.686864
28,2653,dress,2026-01-30 16:40:46.739110
29,4023,bag,2026-01-30 16:36:50.921207
30,4120,nike,2026-01-30 16:45:02.991962
31,301,shoes,2026-01-30 16:42:08.899248
32,3765,dress,2026-01-30 16:43:48.982210
33,3853,nike,2026-01-30 16:45:44.762025
34,3521,vintage,2026-01-30 16:45:28.129550
35,1880,lamp,2026-01-30 16:42:14.602560
36,456,jacket,2026-01-30 16:36:16.098012
37,219,dress,2026-01-30 16:34:34.628115
38,2199,bag,2026-01-30 16:43:56.634371
39,4361,adidas,2026-01-30 16:43:26.828633
40,1141,vintage,2026-01-30 16:44:55.421585
41,1223,vintage,2026-01-30 16:41:06.837681
42,3579,bag,2026-01-30 16:36:04.283403
43,623,vintage,2026-01-30 16:43:31.105618
44,1449,lamp,2026-01-30 16:40:34.670319
45,1135,bag,2026-01-30 16:37:07.233710
46,1734,jacket,2026-01-30 16:34:21.807472
47,2370,lamp,2026-01-30 16:43:49.826909
48,1605,dress,2026-01-30 16:38:25.779424
49,3822,bag,2026-01-30 16:34:56.524094
50,4407,dress,2026-01-30 16:42:40.045925
51,3800,vintage,2026-01-30 16:40:51.283734
52,2960,nike,2026-01-30 16:39:45.210662
53,4236,bag,2026-01-30 16:39:06.115257
54,3444,vintage,2026-01-30 16:46:03.803941
55,1860,bag,2026-01-30 16:37:10.841260
56,51,nike,2026-01-30 16:43:10.032998
57,4528,dress,2026-01-30 16:41:38.316088
58,2877,jacket,2026-01-30 16:42:51.704223
59,3186,dress,2026-01-30 16:44:34.837740
60,908,dress,2026-01-30 16:40:19.009216
61,3096,jacket,2026-01-30 16:38:24.551108
62,4219,jacket,2026-01-30 16:37:01.406548
63,4392,nike,2026-01-30 16:46:00.328741
64,2104,adidas,2026-01-30 16:45:12.669427
65,3380,dress,2026-01-30 16:37:06.798145
66,4843,lamp,2026-01-30 16:35:15.518786
67,4258,lamp,2026-01-30 16:41:31.739600
68,764,bag,2026-01-30 16:43:16.894575
69,4764,jacket,2026-01-30 16:36:28.225080
70,154,bag,2026-01-30 16:42:55.820524
71,4788,lamp,2026-01-30 16:36:11.780883
72,1317,shoes,2026-01-30 16:39:39.990817
73,292,vintage,2026-01-30 16:45:31.313538
74,4968,shoes,2026-01-30 16:45:07.815363
75,3563,adidas,2026-01-30 16:40:18.373373
76,3270,adidas,2026-01-30 16:36:44.989583
